#,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Domain,Competency
"160","What is the primary purpose of `kube-controller-manager`'s `replication-controller`?","To manage the replication of etcd data.","To ensure a specified number of Pod replicas are running and available.","To replicate container images across registries.","To manage replication of PersistentVolumes.","To control the replication of control plane components.","B","The `replication-controller` (managed by `Deployment`s) ensures that a specified number of Pod replicas defined in a ReplicaSet are always running, replacing failed or terminated Pods.","Kubernetes Fundamentals","Kubernetes Architecture"
"161","In a cloud native observability stack, what is the role of a `Collector` (e.g., OpenTelemetry Collector, Fluentd)?","To visualize metrics and logs on a dashboard.","To store long-term telemetry data.","To receive, process, and export telemetry data (metrics, logs, traces) to various backends.","To generate synthetic traffic for monitoring.","To trigger alerts based on anomalies.","C","Collectors act as intermediaries, receiving telemetry data from applications and infrastructure, processing it (filtering, transforming, enriching), and then exporting it to various storage or analysis systems.","Cloud Native Observability","Telemetry & Observability"
"162","What is the primary challenge in ensuring data consistency for a distributed stateful application deployed on Kubernetes?","Managing network latency between Pods.","Ensuring data integrity and consistency across multiple, potentially independent, persistent volumes managed by different Pods.","Simplifying container image builds.","Automating horizontal scaling.","Securing access to the Kubernetes API.","B","Maintaining strong consistency (e.g., strong consistency for writes) across distributed data stores, especially with independent instances of stateful applications, is a complex challenge.","Container Orchestration","Storage"
"163","Which Kubernetes network policy implementation typically offers advanced features like L7 policy enforcement, mTLS, and observability?","Standard Kubernetes NetworkPolicy","Calico","Cilium","Flannel","Weave Net","C","Cilium is a CNI plugin that integrates with eBPF to provide advanced networking and security features, including L7 policy, mTLS, and rich observability, going beyond basic Kubernetes NetworkPolicy capabilities.","Container Orchestration","Networking"
"164","What is the primary benefit of `OpenTracing` or `OpenTelemetry` for distributed systems?","To provide a centralized log aggregation solution.","To standardize the collection and correlation of distributed traces across different services and languages.","To manage Kubernetes cluster configuration.","To secure communication between microservices with mTLS.","To automate container image builds.","B","OpenTracing (now part of OpenTelemetry) provides vendor-agnostic APIs and instrumentation libraries for distributed tracing, enabling end-to-end visibility into requests across microservices regardless of language or framework.","Cloud Native Observability","Telemetry & Observability"
"165","What is the purpose of `kube-proxy`'s `ipvs` mode compared to `iptables` mode?","`ipvs` is less efficient for large numbers of services and endpoints.","`ipvs` uses a different kernel module for load balancing, generally offering better performance and scalability for large clusters.","`ipvs` does not support UDP services.","`ipvs` requires more complex configuration.","`ipvs` only works with `NodePort` services.","B","IPVS (IP Virtual Server) mode in `kube-proxy` offers more scalable and performant load balancing compared to `iptables` mode, especially for clusters with a high number of services and endpoints.","Container Orchestration","Networking"
"166","Which Kubernetes resource is used to provide service-level load balancing of external HTTP/S traffic to multiple Services based on hostnames or URL paths?","Service","Ingress","EndpointSlice","NetworkPolicy","LoadBalancer","B","Ingress manages external access to services within the cluster, typically HTTP/S, by providing URL-based routing, host-based routing, and TLS termination.","Kubernetes Fundamentals","Kubernetes Resources"
"167","What is the core principle of the `Immutable Container` pattern in cloud native?","Containers should be constantly updated in place to apply patches.","Containers should be treated as disposable, and any changes require rebuilding and redeploying a new image.","Containers should store all application data within their filesystem.","Containers should always run as the root user for flexibility.","Containers should be manually configured after deployment.","B","The immutable container pattern treats containers as fixed units. Any change, no matter how small, requires building a new container image and replacing the old one, leading to greater consistency and reliability.","Cloud Native Architecture","Design Patterns"
"168","What is the primary reason for using a `Container Registry` (e.g., Docker Hub, GCR, ECR) in a cloud native workflow?","To store application source code.","To provide persistent storage for application data.","To store and manage container images for distribution and deployment.","To run continuous integration tests.","To manage Kubernetes cluster configurations.","C","A container registry is a centralized repository for storing, managing, and distributing container images, essential for CI/CD pipelines and Kubernetes deployments.","Cloud Native Application Delivery","Application Delivery Fundamentals"
"169","What is the main challenge with `HostPath` volumes regarding Pod scheduling and high availability?","They are too slow for production workloads.","They are not secure enough for any data.","They tie a Pod to a specific node, making it difficult for Kubernetes to reschedule the Pod if the node fails or needs maintenance.","They consume too much memory on the host.","They cannot be shared between multiple Pods.","C","`HostPath` volumes directly expose a path on the host node. This means if a Pod using `HostPath` needs to be rescheduled (e.g., due to node failure or drain), it cannot easily move as its data is tied to the specific original node.","Container Orchestration","Storage"
"170","Which Kubernetes security concept aims to limit the capabilities available to a container, reducing its ability to perform privileged operations on the host?","RBAC","NetworkPolicy","SecurityContext `capabilities`","PodSecurityPolicy (deprecated)","ServiceAccount","C","The `capabilities` field within a container's `SecurityContext` allows administrators to add or drop specific Linux capabilities (e.g., `NET_ADMIN`, `SYS_ADMIN`), reducing the container's attack surface.","Container Orchestration","Security"
"171","What is the primary purpose of the `Node` controller in the `kube-controller-manager`?","To manage the lifecycle of Pods.","To ensure that Nodes are registered in the API server and their health status is updated.","To schedule Pods onto Nodes.","To handle network routing for Pods.","To manage persistent volumes on Nodes.","B","The Node controller watches the API server for Node updates, populates Node objects, and is responsible for noticing when nodes go down (by checking their heartbeats) and cleaning up their Pods.","Kubernetes Fundamentals","Kubernetes Architecture"
"172","What does a `Distroless` container image primarily aim to achieve?","To include all necessary operating system tools for debugging.","To be as small as possible by containing only the application and its direct runtime dependencies, without a package manager or shell.","To run multiple applications in a single container.","To support multiple programming languages.","To provide a graphical user interface for the application.","B","Distroless images contain only your application and its runtime dependencies. They omit package managers, shells, and other programs you'd expect in a standard Linux distribution, reducing image size and attack surface.","Cloud Native Architecture","Containers"
"173","What is the `event` type most relevant for understanding lifecycle changes and issues within Kubernetes resources (e.g., Pod scheduling failures, image pull errors)?","Metrics","Logs","Traces","Kubernetes Events","Alerts","D","Kubernetes Events are objects that provide insights into what is happening inside a cluster, such as when a Pod is scheduled, a container starts, or a PersistentVolume fails to mount.","Cloud Native Observability","Telemetry & Observability"
"174","What is the primary benefit of `Managed Kubernetes Services` (e.g., GKE, EKS, AKS) over self-managed Kubernetes?","More fine-grained control over control plane components.","Reduced operational overhead for cluster management and upgrades.","Lower direct infrastructure costs for worker nodes.","Guaranteed uptime for application Pods.","Complete ownership of the underlying OS for worker nodes.","B","Managed Kubernetes services handle the operation, maintenance, and upgrades of the Kubernetes control plane, significantly reducing the operational burden on users and often providing SLAs for the control plane's availability.","Container Orchestration","Managed Services"
"175","When performing `rolling updates` with a Kubernetes Deployment, what parameter controls the maximum number of Pods that can be unavailable during the update?","`minReadySeconds`","`maxSurge`","`maxUnavailable`","`progressDeadlineSeconds`","`replicas`","C","`maxUnavailable` (part of `strategy.rollingUpdate`) specifies the maximum number of Pods that can be unavailable during the update process. This helps control the impact on application availability.","Kubernetes Fundamentals","Kubernetes Resources"
"176","What is the primary purpose of `health checks` (Liveness and Readiness Probes) in Kubernetes?","To reduce the network latency of Pods.","To determine if containers are running correctly and capable of serving traffic, enabling self-healing and load balancing.","To manage persistent storage volumes.","To encrypt communication between Pods.","To distribute load across different services.","B","Liveness probes ensure containers are running and restart them if they're not. Readiness probes determine if a container is ready to serve traffic and remove it from service endpoints if it's not ready.","Kubernetes Fundamentals","Health Checks"
"177","What is a `sidecar proxy` (e.g., Envoy in Istio) typically used for in a service mesh?","To act as the main application container.","To provide persistent storage for the application.","To intercept and manage all inbound and outbound network traffic for the main application container.","To schedule the Pod onto a node.","To monitor the host operating system metrics.","C","A sidecar proxy runs alongside the application container and intercepts all network traffic, allowing the service mesh to apply policies for traffic management, security (mTLS), and observability without application code changes.","Container Orchestration","Service Mesh"
"178","Which aspect of cloud native security focuses on continuously monitoring runtime behavior of containers for anomalous activity or threats?","Container Image Scanning","Network Policy","Runtime Security","Supply Chain Security","Secrets Management","C","Runtime security solutions monitor containers as they execute, detecting and alerting on suspicious activities, deviations from expected behavior, or active threats.","Container Orchestration","Security"
"179","What is the primary goal of `GitOps` when applied to infrastructure management (Infrastructure as Code)?","To allow manual changes directly on production servers.","To treat infrastructure as mutable, allowing ad-hoc modifications.","To store infrastructure configuration in a version-controlled Git repository and automate its reconciliation with the live state.","To only manage stateless infrastructure components.","To eliminate the need for any automation tools.","C","GitOps extends the principles of Git-based declarative application delivery to infrastructure, treating Git as the single source of truth for desired infrastructure state.","Cloud Native Application Delivery","GitOps"
"180","What is the primary benefit of using `Kubernetes Namespaces` for organizing resources?","They provide isolated kernel namespaces for containers.","They allow different teams to share a cluster securely while preventing resource name collisions and accidental interference.","They automatically assign unique IP addresses to all Pods.","They encrypt all data stored within them.","They reduce the overall resource consumption of the cluster.","B","Namespaces segment a Kubernetes cluster into virtual sub-clusters. This is crucial for multi-tenancy, providing scope for resource names, access control (RBAC), and resource quotas.","Kubernetes Fundamentals","Kubernetes Resources"
"181","Which tool is commonly used in a CI/CD pipeline to manage Kubernetes application deployments using charts?","Terraform","Ansible","Helm","Prometheus","Grafana","C","Helm is the de facto package manager for Kubernetes. Helm charts define, install, and upgrade even the most complex Kubernetes applications.","Cloud Native Application Delivery","Packaging"
"182","What is the primary role of the `kubelet`'s `CRI` (Container Runtime Interface) implementation?","To manage network policies for Pods.","To communicate with the container runtime (e.g., containerd) to manage Pods and their containers on a node.","To schedule Pods onto nodes.","To store cluster state information.","To expose the Kubernetes API.","B","The kubelet uses the CRI to interface with various container runtimes, abstracting away the specifics of how containers are managed (e.g., pulling images, starting/stopping containers).","Kubernetes Fundamentals","Kubernetes Architecture"
"183","What is the significance of `etcd` in the Kubernetes control plane?","It runs the user applications.","It stores the persistent state of the Kubernetes cluster, acting as the single source of truth.","It provides network connectivity between Pods.","It acts as a load balancer for external traffic.","It monitors the health of worker nodes.","B","etcd is a distributed, consistent key-value store that Kubernetes uses to store all cluster data, including configurations, state, and metadata.","Kubernetes Fundamentals","Kubernetes Architecture"
"184","What is the primary challenge that `Kubernetes Network Policy` aims to solve?","Enabling external access to Services.","Providing persistent storage for Pods.","Controlling network communication between Pods and network endpoints within the cluster, acting as a firewall.","Assigning IP addresses to Pods.","Encrypting all network traffic between nodes.","C","Network Policies allow administrators to specify how groups of Pods are allowed to communicate with each other and with external endpoints, enhancing cluster security by implementing segmentation.","Container Orchestration","Networking"
"185","What is a common use case for a `DaemonSet` in Kubernetes?","Running a single instance of a database for high availability.","Deploying a web application that scales horizontally.","Running a cluster-wide logging agent or monitoring agent on every (or specific) node.","Executing a one-off batch job.","Providing stable network identities for Pods.","C","DaemonSets ensure that a copy of a Pod runs on all (or a subset of) nodes, making them ideal for node-specific services like log collectors, monitoring agents, or storage daemons.","Kubernetes Fundamentals","Kubernetes Resources"
"186","What is the primary purpose of `kube-scheduler`'s `Node Selectors` and `Node Affinity`?","To randomly select a node for a Pod.","To allow users to constrain Pods to run on nodes with specific labels or characteristics.","To prioritize nodes with the least CPU usage.","To prevent Pods from being evicted during node maintenance.","To ensure Pods are always located in the same availability zone.","B","Node Selectors provide a simple way to constrain Pods to nodes with specific labels. Node Affinity offers more expressive rules, including soft (preferred) and hard (required) constraints.","Kubernetes Fundamentals","Scheduling"
"187","Which type of PersistentVolume access mode allows a volume to be mounted as read-write by a single Node?","ReadWriteOnce","ReadOnlyMany","ReadWriteMany","ReadWriteExecute","AppendOnly","A","`ReadWriteOnce` means the volume can be mounted as read-write by a single node. This is common for block storage (e.g., cloud disks).","Container Orchestration","Storage"
"188","What is the main benefit of `Containerization` in terms of dependency management?","It simplifies application code by removing dependencies.","It bundles all application dependencies into an isolated package, ensuring consistent runtime across environments.","It removes the need for package managers within the container.","It reduces the overall size of application binaries.","It allows direct access to host system libraries.","B","Containers package an application and all its dependencies (libraries, frameworks, configuration) into a self-contained, isolated unit, ensuring that the application runs consistently regardless of the underlying host environment.","Kubernetes Fundamentals","Containers"
"189","In a cloud native context, what does `DevOps` primarily emphasize?","Strict separation of development and operations teams.","Automating manual processes to bridge the gap between development and operations for faster, more reliable software delivery.","Focusing solely on coding and ignoring infrastructure.","Minimizing communication between teams.","Replacing operations teams with AI.","B","DevOps is a set of practices that combines software development (Dev) and IT operations (Ops) to shorten the systems development life cycle and provide continuous delivery with high software quality.","Cloud Native Architecture","Roles and Personas"
"190","What is the primary function of `Prometheus Alertmanager`?","To collect metrics from targets.","To store time-series data.","To handle alerts sent by Prometheus, grouping, deduplicating, and routing them to notification receivers.","To visualize metric dashboards.","To generate reports on system performance.","C","Alertmanager handles alerts sent by client applications like the Prometheus server. It takes care of deduplicating, grouping, and routing them to the correct receiver integration.","Cloud Native Observability","Prometheus"
"191","What is the main purpose of `kubectl expose`?","To create a Deployment resource.","To create a Service resource that exposes a Deployment, ReplicaSet, or Pod.","To configure an Ingress controller.","To directly expose a Pod on a host port.","To manage external load balancers.","B","`kubectl expose` is an imperative command used to create a Service that exposes an existing resource (like a Deployment or Pod) to the network, usually via a ClusterIP, NodePort, or LoadBalancer.","Kubernetes Fundamentals","Kubernetes API"
"192","Which type of Kubernetes resource is typically used for running scheduled tasks like daily backups or nightly reports?","Deployment","StatefulSet","DaemonSet","Job","CronJob","E","A `CronJob` creates `Job` objects on a repeating schedule. It's suitable for automated, time-based tasks.","Kubernetes Fundamentals","Kubernetes Resources"
"193","What is the primary benefit of `Managed Identity` (e.g., Azure AD Managed Identities, AWS IAM Roles for Service Accounts) for Pods in cloud environments?","It eliminates the need for any authentication to cloud provider APIs.","It allows Pods to securely authenticate to cloud services without embedding credentials in code or secrets.","It reduces network latency to cloud services.","It provides automatic scaling of cloud resources.","It encrypts all data stored in cloud storage.","B","Managed Identities provide an identity for your applications to use when connecting to cloud services, allowing secure access without managing credentials directly within your application or Kubernetes secrets.","Container Orchestration","Security"
"194","What is the primary role of the `Kubelet` in a Kubernetes worker node?","To store the cluster's desired state.","To run controllers that manage cluster resources.","To register the node with the API server, receive Pod specs, and ensure containers are running and healthy.","To provide a web UI for cluster management.","To manage external ingress traffic.","C","The `kubelet` is the agent that runs on each worker node. It registers the node, watches for Pods assigned to it, and instructs the container runtime to run and manage those Pods' containers.","Kubernetes Fundamentals","Kubernetes Architecture"
"195","What is the primary challenge addressed by `Prometheus `s `federation`?","Collecting metrics from a single, large application.","Enabling multiple Prometheus servers to scrape from each other, allowing for hierarchical aggregation and long-term storage in larger deployments.","Visualizing metric data in dashboards.","Sending alerts to multiple channels.","Ensuring data consistency across distributed databases.","B","Prometheus federation allows a Prometheus server to scrape data from another Prometheus server, enabling scaling of monitoring across multiple data centers or large, complex infrastructures.","Cloud Native Observability","Prometheus"
"196","What is the purpose of `readiness probes` in a Pod's lifecycle?","To determine if the container is still alive and restart it if it fails.","To determine if the container is ready to accept incoming network requests and include it in service endpoints.","To perform setup tasks before the main application starts.","To check if the container image can be pulled successfully.","To ensure the container has enough disk space.","B","A readiness probe checks if the application within the container is ready to serve traffic. If it fails, the Pod is removed from the Service's endpoints, preventing traffic from being sent to an unready instance.","Kubernetes Fundamentals","Health Checks"
"197","Which type of cloud native application delivery strategy involves deploying a new version alongside the old one and gradually shifting traffic to the new version, often with a manual or automated rollback option?","Blue/Green Deployment","Canary Release","Rolling Update","Recreate Deployment","Shadowing","B","Canary releases involve gradually rolling out a new version to a small subset of users, monitoring its performance, and then incrementally increasing the rollout if no issues are detected.","Cloud Native Application Delivery","Application Delivery Strategies"
"198","What is the primary goal of `Container Runtime Security` (e.g., Falco, Sysdig Secure)?","To scan container images for vulnerabilities.","To secure communication between containers.","To detect and prevent malicious activity within running containers, typically by monitoring system calls and runtime behavior.","To manage secrets used by containers.","To encrypt data within container volumes.","C","Container runtime security focuses on protecting containers during their execution by observing their behavior, detecting anomalies, and enforcing policies based on system calls, file access, and network activity.","Container Orchestration","Security"
"199","What is the function of `resource requests` and `limits` in a Kubernetes Pod definition?","To define the maximum number of Pod replicas.","To control network access for the Pod.","To tell the scheduler how much CPU and memory the Pod *needs* to run (request) and the maximum it *can* consume (limit).","To specify the container image version.","To manage persistent storage for the Pod.","C","`requests` tell the scheduler the minimum resources a Pod needs to be scheduled. `limits` define the maximum resources a container can use, preventing a single Pod from consuming all node resources.","Kubernetes Fundamentals","Resource Management"
"200","Which Kubernetes resource allows you to define policies for fine-grained control over Pod security, such as restricting access to host namespaces or requiring a non-root user?","NetworkPolicy","PodSecurityPolicy (deprecated)","SecurityContext","RoleBinding","ResourceQuota","B","`PodSecurityPolicy` (PSP) was a cluster-level resource that allowed cluster administrators to control security-sensitive aspects of the Pod specification. While deprecated, understanding its role is important for context with Pod Security Admission.","Container Orchestration","Security"
"201","What is the primary benefit of `Node Affinity` (soft or hard) over `nodeSelector` in Kubernetes scheduling?","It allows for more expressive and complex scheduling rules, including preference or anti-affinity.","It is simpler to configure for basic use cases.","It forces Pods to specific nodes, without any flexibility.","It is only used for stateful applications.","It ensures even distribution of Pods across all nodes.","A","`Node Affinity` provides a more powerful and flexible way to express rules for Pod scheduling onto nodes based on node labels, including ""required"" rules (must match) and ""preferred"" rules (try to match).","Kubernetes Fundamentals","Scheduling"
"202","What does `etcd`'s role in supporting Kubernetes' desired state management?","It executes the Pods.","It functions as the highly available backing store for all cluster data, allowing controllers to reliably reconcile actual state to desired state.","It provides network connectivity between Pods.","It performs health checks on nodes.","It logs all API requests.","B","etcd is a critical component for Kubernetes' declarative model, reliably storing the desired state of all resources. Controllers continuously watch etcd for changes and work to converge the cluster's actual state to the desired state.","Kubernetes Fundamentals","Kubernetes Architecture"
"203","Which component ensures that a Pod receives a unique IP address within the cluster's Pod network?","kube-proxy","kube-apiserver","CNI Plugin","kubelet","etcd","C","The CNI (Container Network Interface) plugin (e.g., Calico, Flannel) is responsible for allocating IP addresses to Pods and configuring the network interfaces to enable Pod-to-Pod communication.","Container Orchestration","Networking"
"204","What is the primary benefit of `ServiceAccounts` in Kubernetes security?","They provide a human user identity for cluster administrators.","They provide an identity for processes running in Pods to authenticate and authorize against the Kubernetes API.","They manage external DNS records for services.","They are used for authenticating to private container registries.","They encrypt data at rest within persistent volumes.","B","ServiceAccounts provide an identity for processes running in Pods, allowing them to make API calls to the Kubernetes control plane with specific permissions granted via RBAC.","Container Orchestration","Security"
"205","What is the primary characteristic of the `Recreate` deployment strategy in Kubernetes?","It ensures zero downtime during updates.","It involves stopping all old instances before starting new ones, causing downtime.","It gradually replaces old Pods with new ones.","It shifts traffic to a new version to a small percentage of users.","It requires manual intervention for every step.","B","The `Recreate` strategy terminates all running instances of the old version of an application before deploying the new version. This guarantees no old Pods are running, but results in downtime.","Cloud Native Application Delivery","Application Delivery Strategies"
"206","Which Kubernetes object is used to define a set of Pods that have stable network identities and persistent storage for each replica, making it suitable for stateful applications?","Deployment","ReplicaSet","DaemonSet","Job","StatefulSet","E","`StatefulSet`s are designed for stateful applications, providing stable, unique network identifiers (e.g., myapp-0, myapp-1) and stable, persistent storage for each Pod replica.","Kubernetes Fundamentals","Kubernetes Resources"
"207","What is the primary purpose of a `LimitRange` in Kubernetes?","To define the maximum number of Pods allowed in a Namespace.","To set default resource requests/limits for Pods and enforce minimum/maximum values within a Namespace.","To configure network policies for Pods.","To manage external traffic routing.","To schedule Pods with specific priorities.","B","A `LimitRange` applies constraints to resource requests and limits within a Namespace, ensuring that Pods conform to a predefined resource usage policy.","Kubernetes Fundamentals","Resource Management"
"208","What is the primary benefit of `Distributed Tracing` in a microservices environment?","It provides a centralized logging solution.","It aggregates metrics from all services into a single dashboard.","It allows developers to visualize the end-to-end flow of requests across multiple services and identify performance bottlenecks.","It automatically generates alerts for service failures.","It manages the deployment of new microservices.","C","Distributed tracing provides end-to-end visibility into requests as they flow through a distributed system, helping to debug latency, errors, and understand service dependencies.","Cloud Native Observability","Telemetry & Observability"
"209","Which pattern involves an application connecting to a remote service via a local proxy running in the same Pod?","Sidecar","Ambassador","Adapter","Decorator","Bridge","B","The Ambassador pattern uses a specialized sidecar container to proxy communication to external services, abstracting away service discovery, routing, and other network complexities from the main application.","Cloud Native Architecture","Design Patterns"
"210","What is the primary purpose of `kube-controller-manager`'s `endpoint-controller`?","To manage the creation of Pods.","To ensure that `Endpoints` objects are updated with the correct IP addresses of healthy Pods for Services.","To schedule Pods onto nodes.","To manage network policies.","To handle API authentication.","B","The `endpoint-controller` (part of the controller manager) watches for Services and Pods and ensures that `Endpoints` objects (which list the IPs and ports of Pods backing a Service) are kept up-to-date.","Kubernetes Fundamentals","Kubernetes Architecture"
"211","What is the main challenge `Horizontal Pod Autoscaler` (HPA) addresses regarding resource allocation?","Over-provisioning or under-provisioning of Pod replicas based on fluctuating load.","Automatically adjusting the CPU and memory requests for existing Pods.","Determining which nodes are available for scheduling.","Managing persistent storage for stateful applications.","Securing network communication between Pods.","A","HPA dynamically adjusts the number of Pod replicas based on observed metrics (like CPU utilization or custom metrics), ensuring that the application scales to meet demand without constant manual intervention or wasted resources.","Cloud Native Architecture","Autoscaling"
"212","What does the `IngressClass` resource in Kubernetes primarily define?","The type of external load balancer to use for an Ingress.","A way to describe the capabilities of an Ingress Controller and to bind Ingress resources to a specific controller implementation.","The set of hostnames an Ingress can manage.","The network policies applied to an Ingress.","The maximum number of Ingress rules allowed.","B","`IngressClass` allows you to define different types of Ingress Controllers and configure them, enabling multiple Ingress Controller implementations in a single cluster and binding Ingress resources to specific ones.","Kubernetes Fundamentals","Kubernetes Resources"
"213","What is the primary benefit of `Infrastructure as Code` (IaC) in a cloud native environment?","It enables manual configuration of infrastructure components.","It provides a graphical user interface for managing infrastructure.","It allows infrastructure to be provisioned, managed, and version-controlled using code, promoting consistency and repeatability.","It reduces the need for any kind of infrastructure.","It only applies to virtual machines, not containers.","C","IaC manages and provisions infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. This leads to consistency, repeatability, and versioning.","Cloud Native Architecture","Cloud Native Principles"
"214","Which component is typically responsible for routing external HTTP/S traffic to the correct Service within a Kubernetes cluster based on rules defined in an Ingress resource?","kube-proxy","kube-scheduler","Ingress Controller","kubelet","CoreDNS","C","The Ingress Controller (e.g., Nginx Ingress Controller, Traefik, ALB Ingress Controller) is a specialized load balancer that implements the rules defined by Ingress resources to route external HTTP/S traffic.","Container Orchestration","Networking"
"215","What is the main advantage of `Prometheus`'s pull-based metric collection model?","It requires applications to constantly push metrics, increasing network load.","It simplifies debugging by having the monitoring system actively scrape known endpoints, reducing complexity for application developers.","It can only collect metrics from static, unchanging targets.","It is primarily designed for log aggregation.","It automatically discovers all applications without any configuration.","B","Prometheus's pull model simplifies target management and allows for easy debugging. The Prometheus server actively scrapes metrics from configured endpoints, reducing the complexity of instrumentation for applications.","Cloud Native Observability","Prometheus"
"216","What is `container image signing` primarily intended to achieve in a secure software supply chain?","To reduce the size of container images.","To compress container images for faster download.","To cryptographically verify the authenticity and integrity of container images, ensuring they come from a trusted source and haven't been tampered with.","To encrypt the contents of container images.","To provide a unique identifier for each container image.","C","Container image signing uses digital signatures to verify that an image was built and published by a trusted entity and has not been altered since it was signed, enhancing supply chain security.","Cloud Native Application Delivery","Security"
"217","Which Kubernetes object is used to define custom, cluster-wide configurations that apply to multiple Pods, often used for injecting sidecars or enforcing policies?","ConfigMap","Secret","CustomResourceDefinition (CRD)","PodTemplate","MutatingAdmissionWebhook","C","A `CustomResourceDefinition` (CRD) allows you to define a new kind of resource that extends the Kubernetes API, which can then be used to create custom controllers (Operators) to manage instances of that resource.","Kubernetes Fundamentals","Kubernetes API"
"218","What is the primary role of the `Service` object's `selector` field?","To select which nodes the Service should run on.","To select the Pods that the Service will route traffic to, based on their labels.","To select which external IP address the Service should use.","To select which namespaces the Service applies to.","To select the container image for the Service.","B","The `selector` field in a Service definition identifies the set of Pods that the Service should route traffic to. Pods matching the selector's labels become endpoints for the Service.","Kubernetes Fundamentals","Kubernetes Resources"
"219","What is the main challenge with `HostAliases` in a Pod definition?","They provide insecure DNS resolution.","They are static and require Pod restarts for changes, making them unsuitable for dynamic environments.","They can conflict with `CoreDNS`.","They cannot be used for external hostnames.","They require complex network configurations.","B","`HostAliases` provide static entries to a Pod's `/etc/hosts` file. Since they are part of the Pod's immutable definition, any change requires recreating the Pod, limiting their use in dynamic scenarios.","Kubernetes Fundamentals","Networking"
"220","Which Kubernetes resource allows you to define policies for Pods that should not be disrupted (evicted) during voluntary node operations?","ResourceQuota","LimitRange","PodDisruptionBudget","HorizontalPodAutoscaler","VerticalPodAutoscaler","C","A `PodDisruptionBudget` (PDB) defines the minimum number or percentage of Pods of a given application that must be available during voluntary disruptions, protecting against service outages during maintenance.","Container Orchestration","Availability"
"221","What is the primary benefit of `Microservices Architecture` in cloud native application development?","It simplifies the development of monolithic applications.","It reduces the overall number of services in an application.","It enables independent development, deployment, and scaling of smaller, self-contained services, leading to greater agility and resilience.","It eliminates the need for inter-service communication.","It ensures all services share a single database.","C","Microservices break down large applications into small, independent services that communicate over APIs. This allows teams to develop, deploy, and scale services independently, accelerating development and improving fault isolation.","Cloud Native Architecture","Microservices"
"222","Which tool is primarily used for log aggregation and analysis in a Kubernetes environment?","Prometheus","Grafana","Fluentd/Fluent Bit","Alertmanager","Kube-state-metrics","C","Fluentd and Fluent Bit are popular open-source data collectors used for log aggregation, collecting logs from various sources (including Kubernetes Pods) and forwarding them to centralized logging systems.","Cloud Native Observability","Telemetry & Observability"
"223","What is the primary purpose of `Kubernetes Admission Controllers`?","To route network traffic between Pods.","To enforce policies and validate, mutate, or reject API requests before they are persisted in etcd.","To schedule Pods onto nodes.","To manage persistent storage volumes.","To encrypt communication between control plane components.","B","Admission controllers are plugins that intercept requests to the Kubernetes API server after authentication and authorization but before persistence. They can validate the request, mutate it, or deny it entirely based on defined policies.","Kubernetes Fundamentals","Kubernetes API"
"224","What is the primary role of the `Service Mesh Interface` (SMI) in the cloud native ecosystem?","To define standards for container image formats.","To standardize common service mesh features across different implementations, promoting interoperability and reducing vendor lock-in.","To provide a common API for Kubernetes networking.","To manage persistent storage for stateful applications.","To define custom resource definitions for applications.","B","SMI provides a set of common, portable APIs that enable developers and operators to interact with various service mesh technologies in a standardized way, allowing for easier adoption and switching between meshes.","Container Orchestration","Service Mesh"
"225","What is the primary security benefit of using a `network policy` for egress traffic in Kubernetes?","It prevents unauthorized inbound connections to Pods.","It controls the outbound network connections that a Pod is allowed to make to other Pods or external endpoints.","It encrypts all outbound traffic from the Pod.","It reduces the network latency for outbound connections.","It allows all outbound connections by default.","B","Egress network policies define which outbound connections a Pod is permitted to make, limiting the blast radius of a compromised Pod by preventing it from reaching unauthorized internal or external resources.","Container Orchestration","Security"
"226","What is the primary goal of `Continuous Integration` (CI) in a CI/CD pipeline?","To deploy code directly to production.","To ensure that code changes from multiple developers are integrated frequently into a shared repository and automatically tested to detect integration issues early.","To manually test all application features.","To manage infrastructure provisioning.","To generate release notes for software versions.","B","CI involves frequent integration of code changes into a central repository, followed by automated builds and tests, to quickly identify and fix integration problems.","Cloud Native Application Delivery","CI/CD"
"227","What is the role of `labels` and `selectors` in Kubernetes?","To define network routes between clusters.","To categorize and group Kubernetes objects (labels) and to specify which objects a controller or service should operate on (selectors).","To manage user authentication and authorization.","To store sensitive data securely.","To assign IP addresses to Pods.","B","Labels are key-value pairs attached to objects, used to identify their characteristics. Selectors are used by controllers (like Deployments, Services) to find and manage objects with specific labels.","Kubernetes Fundamentals","Kubernetes Resources"
"228","When designing a cloud native application, what is the primary benefit of designing services to be `stateless`?","They require persistent storage on the node.","They are easier to scale horizontally, recover from failures, and can be deployed more flexibly as they don't depend on local data.","They improve network performance dramatically.","They are harder to test in isolation.","They consume more CPU and memory resources.","B","Stateless services do not store session or application data locally. This makes them highly scalable (just add more instances), resilient (any instance can serve any request, and failure of one doesn't lose data), and easier to deploy.","Cloud Native Architecture","Design Principles"
